id,created_at,privateUserId,businessUserId
1,2023-09-23 17:30:02.822312+00,2,
2,2023-09-23 17:42:20.360565+00,1,
3,2023-09-29 10:33:02.993234+00,1,
4,2023-09-30 09:23:15.210556+00,1,
5,2023-09-30 15:25:16.9468+00,2,
6,2023-09-30 17:15:59.741535+00,1,
7,2023-09-30 17:33:02.035209+00,1,
8,2023-09-30 17:33:02.159866+00,1,
9,2023-09-30 17:33:02.420987+00,1,
10,2023-09-30 17:33:02.575333+00,1,
11,2023-09-30 17:33:02.823932+00,1,
12,2023-09-30 17:36:43.733097+00,2,
13,2023-09-30 17:39:22.445938+00,2,
14,2023-09-30 17:43:25.007543+00,2,
15,2023-09-30 18:00:53.977387+00,2,
16,2023-09-30 18:25:08.713331+00,2,
17,2023-10-01 14:33:16.112532+00,3,
18,2023-10-08 17:29:21.757473+00,1,
19,2023-10-08 19:04:45.501934+00,2,
20,2023-10-08 19:04:45.523122+00,2,
21,2023-10-08 19:14:07.55099+00,2,
22,2023-10-08 19:14:07.570882+00,3,
23,2023-10-08 22:53:35.982447+00,3,
24,2023-10-08 22:54:47.902725+00,2,
25,2023-10-08 22:54:47.921674+00,3,
26,2023-10-25 12:57:38.143676+00,1,
31,2024-05-19 17:28:27.518286+00,3,
32,2024-05-19 17:31:10.47735+00,1,
33,2024-05-19 18:33:09.396634+00,1,
34,2024-06-24 20:00:23.502495+00,3,
35,2024-08-11 17:42:10.166457+00,1,
36,2024-08-11 18:48:02.752266+00,3,
37,2024-08-11 18:50:54.665199+00,3,
38,2024-08-11 18:53:33.461331+00,3,
39,2024-08-11 19:07:50.762577+00,3,
40,2024-08-11 19:14:31.346313+00,3,
41,2024-08-11 19:17:33.03205+00,3,
42,2024-08-11 19:22:11.423726+00,3,
43,2024-08-11 19:37:39.228449+00,3,
44,2024-08-11 19:40:14.769127+00,3,
45,2024-08-11 19:41:21.569792+00,3,
46,2024-08-11 19:41:53.043544+00,3,
47,2024-08-11 19:42:30.85353+00,3,
48,2024-08-11 19:43:03.432772+00,3,
49,2024-08-11 19:45:10.98311+00,3,
50,2024-08-11 19:48:35.189479+00,3,
51,2024-08-11 20:40:46.027698+00,1,
52,2024-08-11 20:48:56.544526+00,1,
53,2024-08-11 20:49:23.816412+00,1,
54,2024-08-11 20:50:21.312648+00,1,
55,2024-08-11 21:04:57.656292+00,1,
56,2024-09-27 15:37:56.762832+00,3,
57,2024-09-27 15:47:59.942902+00,3,
58,2024-09-27 15:57:35.988363+00,3,
